phrase,news_count,research_count,speech_count,news_percentage,research_percentage,speech_percentage,average_percentage,source,agriculture_and_food_production,healthcare_and_wellbeing,general,none_of_the_above
power,23825.0,5973.0,16769.0,0.2048,0.055,0.2724,0.1774,news_research_speech,False,False,True,False
members,26220.0,9874.0,12892.0,0.2254,0.0909,0.2094,0.1752,news_research_speech,False,False,True,False
economy,18782.0,8364.0,17498.0,0.1615,0.077,0.2843,0.1743,news_research_speech,False,False,True,False
question,7588.0,7634.0,23693.0,0.0652,0.0702,0.3849,0.1734,news_research_speech,False,False,True,False
course,7843.0,5490.0,24576.0,0.0674,0.0505,0.3992,0.1724,news_research_speech,False,False,True,False
state,17108.0,6288.0,19019.0,0.1471,0.0579,0.309,0.1713,news_research_speech,False,False,True,False
situation,20238.0,9284.0,15646.0,0.174,0.0854,0.2542,0.1712,news_research_speech,False,False,True,False
support,31533.0,11822.0,7890.0,0.2711,0.1088,0.1282,0.1694,news_research_speech,False,False,True,False
company,26982.0,16841.0,7083.0,0.232,0.155,0.1151,0.1674,news_research_speech,False,False,True,False
business,15193.0,13775.0,14879.0,0.1306,0.1268,0.2417,0.1664,news_research_speech,False,False,True,False
school,21547.0,11603.0,12713.0,0.1853,0.1068,0.2065,0.1662,news_research_speech,False,False,True,False
police,26019.0,624.0,16497.0,0.2237,0.0057,0.268,0.1658,news_research_speech,False,False,True,False
education,21409.0,18904.0,7702.0,0.1841,0.1739,0.1251,0.161,news_research_speech,False,False,True,False
opportunity,21531.0,6459.0,14192.0,0.1851,0.0594,0.2306,0.1584,news_research_speech,False,False,True,False
election,22125.0,388.0,16754.0,0.1902,0.0036,0.2722,0.1553,news_research_speech,False,False,True,False
office,22519.0,1854.0,14504.0,0.1936,0.0171,0.2356,0.1488,news_research_speech,False,False,True,False
decision,22860.0,4943.0,11447.0,0.1965,0.0455,0.186,0.1427,news_research_speech,False,False,True,False
parliament,5654.0,297.0,22171.0,0.0486,0.0027,0.3602,0.1372,news_research_speech,False,False,True,False
report,18519.0,3551.0,12508.0,0.1592,0.0327,0.2032,0.1317,news_research_speech,False,False,True,False
reason,9019.0,9019.0,14080.0,0.0775,0.083,0.2287,0.1297,news_research_speech,False,False,True,False
communities,18835.0,14503.0,5463.0,0.1619,0.1334,0.0887,0.128,news_research_speech,False,False,True,False
stakeholders,21087.0,13100.0,5049.0,0.1813,0.1205,0.082,0.1279,news_research_speech,False,False,True,False
customers,15183.0,22958.0,2567.0,0.1305,0.2112,0.0417,0.1278,news_research_speech,False,False,True,False
management,11436.0,25010.0,2852.0,0.0983,0.2301,0.0463,0.1249,news_research_speech,False,False,True,False
cost,10679.0,15572.0,8211.0,0.0918,0.1433,0.1334,0.1228,news_research_speech,False,False,True,False
services,13230.0,20813.0,3730.0,0.1137,0.1915,0.0606,0.1219,news_research_speech,False,True,True,False
team,20374.0,2222.0,10228.0,0.1752,0.0204,0.1662,0.1206,news_research_speech,False,False,True,False
researcher,300.0,38228.0,152.0,0.0026,0.3518,0.0025,0.119,news_research_speech,False,True,True,False
minister,6922.0,212.0,18163.0,0.0595,0.002,0.2951,0.1189,news_research_speech,False,False,True,False
community,14158.0,13440.0,6792.0,0.1217,0.1237,0.1103,0.1186,news_research_speech,False,True,True,False
system,8469.0,12547.0,10276.0,0.0728,0.1155,0.1669,0.1184,news_research_speech,False,True,True,False
farmers,11515.0,19642.0,4516.0,0.099,0.1807,0.0734,0.1177,news_research_speech,True,False,False,False
performance,6921.0,27049.0,2736.0,0.0595,0.2489,0.0444,0.1176,news_research_speech,False,False,True,False
effect,6124.0,24069.0,4580.0,0.0527,0.2215,0.0744,0.1162,news_research_speech,False,False,True,False
bank,6998.0,14037.0,9733.0,0.0602,0.1292,0.1581,0.1158,news_research_speech,False,False,True,False
businesses,17943.0,8498.0,6980.0,0.1543,0.0782,0.1134,0.1153,news_research_speech,False,False,True,False
committee,10523.0,813.0,14472.0,0.0905,0.0075,0.2351,0.111,news_research_speech,False,False,True,False
role,13955.0,13005.0,5012.0,0.12,0.1197,0.0814,0.107,news_research_speech,False,False,True,False
areas,10040.0,11857.0,7597.0,0.0863,0.1091,0.1234,0.1063,news_research_speech,True,False,True,False
public,21074.0,3306.0,6595.0,0.1812,0.0304,0.1071,0.1062,news_research_speech,False,True,True,False
analysis,1845.0,29547.0,1856.0,0.0159,0.2719,0.0302,0.106,news_research_speech,False,False,True,False
schools,15066.0,9134.0,6415.0,0.1295,0.084,0.1042,0.1059,news_research_speech,False,False,True,False
event,24598.0,2603.0,4998.0,0.2115,0.024,0.0812,0.1056,news_research_speech,False,False,True,False
findings,3674.0,29158.0,1017.0,0.0316,0.2683,0.0165,0.1055,news_research_speech,False,True,True,False
staff,12902.0,14253.0,4394.0,0.1109,0.1311,0.0714,0.1045,news_research_speech,False,False,True,False
activities,11241.0,15975.0,4190.0,0.0966,0.147,0.0681,0.1039,news_research_speech,False,False,True,False
interest,10959.0,10580.0,7318.0,0.0942,0.0974,0.1189,0.1035,news_research_speech,False,False,True,False
lack,13563.0,15394.0,3199.0,0.1166,0.1416,0.052,0.1034,news_research_speech,True,False,True,False
factors,3430.0,26835.0,1996.0,0.0295,0.2469,0.0324,0.1029,news_research_speech,False,False,True,False
family,17094.0,7312.0,5663.0,0.147,0.0673,0.092,0.1021,news_research_speech,False,True,True,False
employees,4388.0,27784.0,728.0,0.0377,0.2557,0.0118,0.1017,news_research_speech,False,False,True,False
banks,8420.0,17903.0,4026.0,0.0724,0.1647,0.0654,0.1008,news_research_speech,False,False,True,False
leadership,18278.0,3145.0,7146.0,0.1571,0.0289,0.1161,0.1007,news_research_speech,False,False,True,False
quality,7764.0,19621.0,3187.0,0.0668,0.1805,0.0518,0.0997,news_research_speech,True,True,True,False
somebody,2860.0,285.0,16703.0,0.0246,0.0026,0.2713,0.0995,news_research_speech,False,False,True,False
growth,12470.0,14786.0,3261.0,0.1072,0.1361,0.053,0.0988,news_research_speech,True,False,True,False
house,7907.0,3339.0,12156.0,0.068,0.0307,0.1975,0.0987,news_research_speech,False,False,True,False
lives,19582.0,3608.0,5689.0,0.1684,0.0332,0.0924,0.098,news_research_speech,False,True,True,False
youth,17640.0,4234.0,6082.0,0.1517,0.039,0.0988,0.0965,news_research_speech,False,False,True,False
concerns,19493.0,2323.0,6110.0,0.1676,0.0214,0.0993,0.0961,news_research_speech,False,True,True,False
market,8553.0,6978.0,9153.0,0.0735,0.0642,0.1487,0.0955,news_research_speech,True,False,True,False
relationship,8001.0,20758.0,1596.0,0.0688,0.191,0.0259,0.0952,news_research_speech,False,False,True,False
line,11833.0,6008.0,7884.0,0.1017,0.0553,0.1281,0.095,news_research_speech,False,False,True,False
environment,8094.0,13120.0,5659.0,0.0696,0.1207,0.0919,0.0941,news_research_speech,True,True,True,False
everybody,3845.0,566.0,14878.0,0.0331,0.0052,0.2417,0.0933,news_research_speech,False,False,True,False
view,6713.0,12841.0,6297.0,0.0577,0.1182,0.1023,0.0927,news_research_speech,False,False,True,False
elections,9630.0,590.0,11264.0,0.0828,0.0054,0.183,0.0904,news_research_speech,False,False,True,False
evidence,9876.0,6682.0,7654.0,0.0849,0.0615,0.1243,0.0902,news_research_speech,False,True,True,False
training,10252.0,14313.0,2899.0,0.0881,0.1317,0.0471,0.089,news_research_speech,False,False,True,False
food,9787.0,8474.0,6435.0,0.0841,0.078,0.1045,0.0889,news_research_speech,True,True,False,False
service,11155.0,9968.0,4847.0,0.0959,0.0917,0.0787,0.0888,news_research_speech,False,True,True,False
addition,8914.0,17153.0,1949.0,0.0766,0.1578,0.0317,0.0887,news_research_speech,False,False,True,False
organization,2674.0,23187.0,1741.0,0.023,0.2134,0.0283,0.0882,news_research_speech,False,False,True,False
form,6084.0,14688.0,4506.0,0.0523,0.1352,0.0732,0.0869,news_research_speech,False,False,True,False
teachers,10079.0,11573.0,4031.0,0.0867,0.1065,0.0655,0.0862,news_research_speech,False,False,True,False
problems,5601.0,11838.0,6198.0,0.0482,0.1089,0.1007,0.0859,news_research_speech,False,False,True,False
efforts,19392.0,4758.0,2710.0,0.1667,0.0438,0.044,0.0848,news_research_speech,False,False,True,False
corruption,13041.0,2960.0,6572.0,0.1121,0.0272,0.1068,0.082,news_research_speech,False,False,True,False
institutions,10788.0,7919.0,4874.0,0.0928,0.0729,0.0792,0.0816,news_research_speech,False,False,True,False
operations,12438.0,8689.0,3428.0,0.1069,0.08,0.0557,0.0809,news_research_speech,False,False,True,False
risk,8087.0,13863.0,2696.0,0.0695,0.1276,0.0438,0.0803,news_research_speech,False,False,True,False
industry,10297.0,8370.0,4541.0,0.0885,0.077,0.0738,0.0798,news_research_speech,True,False,True,False
men,12535.0,6077.0,4553.0,0.1078,0.0559,0.074,0.0792,news_research_speech,False,False,True,False
member,8263.0,2085.0,9033.0,0.071,0.0192,0.1467,0.079,news_research_speech,False,False,True,False
response,12096.0,6744.0,4058.0,0.104,0.0621,0.0659,0.0773,news_research_speech,False,False,True,False
meeting,13438.0,794.0,6612.0,0.1155,0.0073,0.1074,0.0767,news_research_speech,False,False,True,False
home,11931.0,3658.0,5626.0,0.1026,0.0337,0.0914,0.0759,news_research_speech,False,False,True,False
purpose,7092.0,12121.0,3362.0,0.061,0.1115,0.0546,0.0757,news_research_speech,False,False,True,False
companies,8448.0,10002.0,3809.0,0.0726,0.092,0.0619,0.0755,news_research_speech,True,False,True,False
funds,10891.0,8461.0,3293.0,0.0936,0.0779,0.0535,0.075,news_research_speech,False,False,True,False
parents,11288.0,7301.0,3725.0,0.0971,0.0672,0.0605,0.0749,news_research_speech,False,False,True,False
policy,9011.0,5225.0,6049.0,0.0775,0.0481,0.0983,0.0746,news_research_speech,True,False,True,False
security,10249.0,3341.0,6087.0,0.0881,0.0307,0.0989,0.0726,news_research_speech,True,False,True,False
citizens,14082.0,2434.0,4492.0,0.1211,0.0224,0.073,0.0722,news_research_speech,False,False,True,False
change,8366.0,8096.0,4259.0,0.0719,0.0745,0.0692,0.0719,news_research_speech,False,False,True,False
projects,7578.0,11655.0,2634.0,0.0652,0.1072,0.0428,0.0717,news_research_speech,True,False,True,False
programme,10695.0,5452.0,0.0,0.092,0.0502,0.0,0.0711,news_research,True,True,True,False
health,9173.0,8454.0,3461.0,0.0789,0.0778,0.0562,0.071,news_research_speech,False,True,False,False
products,7208.0,11725.0,2413.0,0.062,0.1079,0.0392,0.0697,news_research_speech,True,False,True,False
hospital,10805.0,5330.0,4145.0,0.0929,0.049,0.0673,0.0697,news_research_speech,False,True,False,False
residents,16109.0,2702.0,2617.0,0.1385,0.0249,0.0425,0.0686,news_research_speech,False,False,True,False
job,5464.0,5367.0,6705.0,0.047,0.0494,0.1089,0.0684,news_research_speech,False,False,True,False
collaboration,15762.0,2559.0,2440.0,0.1355,0.0235,0.0396,0.0662,news_research_speech,False,False,True,False
experience,8285.0,7075.0,3763.0,0.0712,0.0651,0.0611,0.0658,news_research_speech,False,False,True,False
measures,9367.0,6562.0,3482.0,0.0805,0.0604,0.0566,0.0658,news_research_speech,False,True,True,False
workers,6956.0,10889.0,2291.0,0.0598,0.1002,0.0372,0.0657,news_research_speech,False,False,True,False
board,7033.0,3225.0,6546.0,0.0605,0.0297,0.1063,0.0655,news_research_speech,False,False,True,False
head,7568.0,3111.0,6303.0,0.0651,0.0286,0.1024,0.0654,news_research_speech,False,False,True,False
ability,6589.0,11338.0,2109.0,0.0567,0.1043,0.0343,0.0651,news_research_speech,False,False,True,False
technology,10166.0,6354.0,2992.0,0.0874,0.0585,0.0486,0.0648,news_research_speech,True,False,True,False
care,6851.0,5613.0,5078.0,0.0589,0.0516,0.0825,0.0643,news_research_speech,False,True,False,False
death,12648.0,4518.0,2525.0,0.1087,0.0416,0.041,0.0638,news_research_speech,False,True,False,False
game,11567.0,624.0,5240.0,0.0995,0.0057,0.0851,0.0634,news_research_speech,False,False,True,False
speaker,798.0,266.0,10986.0,0.0069,0.0024,0.1785,0.0626,news_research_speech,False,False,True,False
city,5423.0,2837.0,6850.0,0.0466,0.0261,0.1113,0.0613,news_research_speech,False,False,True,False
road,8203.0,1601.0,6068.0,0.0705,0.0147,0.0986,0.0613,news_research_speech,False,False,True,False
investigation,9281.0,4386.0,3906.0,0.0798,0.0404,0.0635,0.0612,news_research_speech,False,False,True,False
age,5955.0,10526.0,2163.0,0.0512,0.0969,0.0351,0.0611,news_research_speech,False,False,True,False
parties,6613.0,3502.0,5734.0,0.0569,0.0322,0.0931,0.0607,news_research_speech,False,False,True,False
taxes,5989.0,3747.0,5881.0,0.0515,0.0345,0.0955,0.0605,news_research_speech,False,False,True,False
incident,15266.0,373.0,2852.0,0.1313,0.0034,0.0463,0.0603,news_research_speech,False,False,True,False
ghanians,1.0,0.0,7408.0,0.0,0.0,0.1203,0.0602,news_speech,False,False,False,True
model,2140.0,16378.0,702.0,0.0184,0.1507,0.0114,0.0602,news_research_speech,False,False,True,False
child,7694.0,5284.0,3888.0,0.0662,0.0486,0.0632,0.0593,news_research_speech,False,True,False,False
anybody,3263.0,372.0,9005.0,0.0281,0.0034,0.1463,0.0593,news_research_speech,False,False,True,False
charge,9017.0,2670.0,4674.0,0.0775,0.0246,0.0759,0.0593,news_research_speech,False,False,True,False
investment,7978.0,6012.0,3260.0,0.0686,0.0553,0.053,0.059,news_research_speech,True,False,True,False
increase,4831.0,11626.0,1760.0,0.0415,0.107,0.0286,0.059,news_research_speech,True,False,True,False
capacity,7286.0,6049.0,3588.0,0.0626,0.0557,0.0583,0.0589,news_research_speech,True,False,True,False
treatment,7281.0,9356.0,1662.0,0.0626,0.0861,0.027,0.0586,news_research_speech,False,True,False,False
effects,2612.0,15217.0,744.0,0.0225,0.14,0.0121,0.0582,news_research_speech,False,True,True,False
processes,4261.0,7039.0,4475.0,0.0366,0.0648,0.0727,0.058,news_research_speech,True,False,True,False
words,5914.0,5704.0,4347.0,0.0508,0.0525,0.0706,0.058,news_research_speech,False,False,True,False
responsibility,7565.0,4375.0,4224.0,0.065,0.0403,0.0686,0.058,news_research_speech,False,False,True,False
review,5713.0,9623.0,2198.0,0.0491,0.0885,0.0357,0.0578,news_research_speech,False,False,True,False
reasons,4597.0,8052.0,3667.0,0.0395,0.0741,0.0596,0.0577,news_research_speech,False,False,True,False
leaders,9158.0,2604.0,4293.0,0.0787,0.024,0.0697,0.0575,news_research_speech,False,False,True,False
district,4059.0,11565.0,1790.0,0.0349,0.1064,0.0291,0.0568,news_research_speech,False,False,True,False
goods,6752.0,7339.0,2695.0,0.0581,0.0675,0.0438,0.0565,news_research_speech,True,False,True,False
program,4158.0,2118.0,7000.0,0.0357,0.0195,0.1137,0.0563,news_research_speech,True,True,True,False
presence,4989.0,10244.0,1889.0,0.0429,0.0943,0.0307,0.056,news_research_speech,False,False,True,False
concern,8062.0,3569.0,4012.0,0.0693,0.0328,0.0652,0.0558,news_research_speech,False,True,True,False
stage,6494.0,5429.0,3685.0,0.0558,0.05,0.0599,0.0552,news_research_speech,False,False,True,False
constituency,7948.0,110.0,5907.0,0.0683,0.001,0.096,0.0551,news_research_speech,False,False,True,False
potential,9800.0,5952.0,1599.0,0.0843,0.0548,0.026,0.055,news_research_speech,True,False,True,False
idea,5055.0,5077.0,4504.0,0.0435,0.0467,0.0732,0.0545,news_research_speech,False,False,True,False
objectives,1500.0,15608.0,418.0,0.0129,0.1436,0.0068,0.0544,news_research_speech,False,False,True,False
application,4809.0,8670.0,2573.0,0.0413,0.0798,0.0418,0.0543,news_research_speech,True,False,True,False
ground,4554.0,2504.0,6129.0,0.0392,0.023,0.0996,0.0539,news_research_speech,True,False,True,False
prices,6503.0,2985.0,4755.0,0.0559,0.0275,0.0772,0.0535,news_research_speech,True,False,True,False
actions,9163.0,3367.0,3109.0,0.0788,0.031,0.0505,0.0534,news_research_speech,False,False,True,False
safety,9210.0,5514.0,1811.0,0.0792,0.0507,0.0294,0.0531,news_research_speech,True,True,True,False
families,10106.0,3397.0,2496.0,0.0869,0.0313,0.0405,0.0529,news_research_speech,False,True,True,False
payment,7576.0,4836.0,2979.0,0.0651,0.0445,0.0484,0.0527,news_research_speech,False,False,True,False
culture,7063.0,6866.0,2069.0,0.0607,0.0632,0.0336,0.0525,news_research_speech,True,False,True,False
benefits,5809.0,9306.0,1360.0,0.0499,0.0856,0.0221,0.0525,news_research_speech,False,True,True,False
basis,3359.0,7457.0,3680.0,0.0289,0.0686,0.0598,0.0524,news_research_speech,False,False,True,False
facility,8311.0,4468.0,2674.0,0.0715,0.0411,0.0434,0.052,news_research_speech,False,True,True,False
means,3202.0,10291.0,1989.0,0.0275,0.0947,0.0323,0.0515,news_research_speech,False,False,True,False
clients,5111.0,9607.0,1329.0,0.0439,0.0884,0.0216,0.0513,news_research_speech,False,True,True,False
skills,6829.0,7384.0,1655.0,0.0587,0.0679,0.0269,0.0512,news_research_speech,False,False,True,False
laws,5615.0,2914.0,4786.0,0.0483,0.0268,0.0777,0.0509,news_research_speech,False,False,True,False
hope,9816.0,1054.0,3542.0,0.0844,0.0097,0.0575,0.0505,news_research_speech,False,True,True,False
understanding,3763.0,7517.0,2998.0,0.0324,0.0692,0.0487,0.0501,news_research_speech,False,False,True,False
revenue,5855.0,4912.0,3299.0,0.0503,0.0452,0.0536,0.0497,news_research_speech,False,False,True,False
practice,4673.0,8139.0,2022.0,0.0402,0.0749,0.0328,0.0493,news_research_speech,True,True,True,False
product,3056.0,7958.0,2934.0,0.0263,0.0732,0.0477,0.0491,news_research_speech,True,False,True,False
discussion,3265.0,6498.0,3626.0,0.0281,0.0598,0.0589,0.0489,news_research_speech,False,False,True,False
institution,4795.0,5334.0,3462.0,0.0412,0.0491,0.0562,0.0488,news_research_speech,False,False,True,False
agreement,7576.0,3512.0,2952.0,0.0651,0.0323,0.048,0.0485,news_research_speech,False,False,True,False
partnership,11624.0,840.0,2241.0,0.0999,0.0077,0.0364,0.048,news_research_speech,False,False,True,False
violence,8924.0,1026.0,3511.0,0.0767,0.0094,0.057,0.0477,news_research_speech,False,True,True,False
platform,8705.0,1067.0,3607.0,0.0748,0.0098,0.0586,0.0477,news_research_speech,False,False,True,False
contract,5668.0,3964.0,3524.0,0.0487,0.0365,0.0572,0.0475,news_research_speech,False,False,True,False
players,8089.0,935.0,3890.0,0.0695,0.0086,0.0632,0.0471,news_research_speech,False,False,True,False
investigations,10078.0,892.0,2805.0,0.0866,0.0082,0.0456,0.0468,news_research_speech,False,False,True,False
loans,3228.0,9520.0,1509.0,0.0278,0.0876,0.0245,0.0466,news_research_speech,False,False,True,False
investors,8467.0,3513.0,2090.0,0.0728,0.0323,0.034,0.0464,news_research_speech,False,False,True,False
loss,6297.0,5651.0,2016.0,0.0541,0.052,0.0328,0.0463,news_research_speech,False,False,True,False
roads,7213.0,2450.0,3325.0,0.062,0.0225,0.054,0.0462,news_research_speech,False,False,True,False
week,5883.0,2901.0,3737.0,0.0506,0.0267,0.0607,0.046,news_research_speech,False,False,False,True
conditions,4752.0,6302.0,2381.0,0.0409,0.058,0.0387,0.0459,news_research_speech,False,False,True,False
focus,6225.0,4676.0,2500.0,0.0535,0.043,0.0406,0.0457,news_research_speech,False,False,True,False
advantage,6107.0,3710.0,3088.0,0.0525,0.0341,0.0502,0.0456,news_research_speech,False,False,True,False
organizations,2474.0,10615.0,1062.0,0.0213,0.0977,0.0173,0.0454,news_research_speech,False,False,True,False
competition,7395.0,3570.0,2426.0,0.0636,0.0328,0.0394,0.0453,news_research_speech,False,False,True,False
field,3386.0,8268.0,1862.0,0.0291,0.0761,0.0302,0.0451,news_research_speech,True,False,True,False
plans,9196.0,1789.0,2382.0,0.0791,0.0165,0.0387,0.0448,news_research_speech,False,False,True,False
lawyer,4996.0,72.0,5582.0,0.043,0.0007,0.0907,0.0448,news_research_speech,False,False,True,False
journalists,10656.0,173.0,2511.0,0.0916,0.0016,0.0408,0.0447,news_research_speech,False,False,True,False
wife,8499.0,2199.0,2516.0,0.0731,0.0202,0.0409,0.0447,news_research_speech,False,False,False,True
mother,6962.0,3249.0,2678.0,0.0599,0.0299,0.0435,0.0444,news_research_speech,False,False,False,True
stories,3161.0,628.0,6149.0,0.0272,0.0058,0.0999,0.0443,news_research_speech,False,False,True,False
soil,917.0,12371.0,690.0,0.0079,0.1138,0.0112,0.0443,news_research_speech,True,False,False,False
church,4841.0,5847.0,2289.0,0.0416,0.0538,0.0372,0.0442,news_research_speech,False,False,True,False
operation,5647.0,5420.0,2085.0,0.0486,0.0499,0.0339,0.0441,news_research_speech,False,True,True,False
price,3767.0,3805.0,3988.0,0.0324,0.035,0.0648,0.0441,news_research_speech,True,False,True,False
responses,789.0,12133.0,821.0,0.0068,0.1116,0.0133,0.0439,news_research_speech,False,False,True,False
reports,8062.0,2310.0,2528.0,0.0693,0.0213,0.0411,0.0439,news_research_speech,False,False,True,False
difference,2751.0,5769.0,3377.0,0.0237,0.0531,0.0549,0.0439,news_research_speech,False,False,True,False
administration,6220.0,4278.0,2395.0,0.0535,0.0394,0.0389,0.0439,news_research_speech,False,False,True,False
solution,2597.0,6425.0,3082.0,0.0223,0.0591,0.0501,0.0438,news_research_speech,False,False,True,False
infrastructure,6762.0,2641.0,2998.0,0.0581,0.0243,0.0487,0.0437,news_research_speech,False,False,True,False
study area,4.0,9420.0,0.0,0.0,0.0867,0.0,0.0434,news_research,True,False,True,False
exercise,8043.0,1712.0,2772.0,0.0692,0.0158,0.045,0.0433,news_research_speech,False,True,False,False
rules,4123.0,2846.0,4158.0,0.0354,0.0262,0.0675,0.043,news_research_speech,False,False,True,False
approach,3902.0,6154.0,2292.0,0.0335,0.0566,0.0372,0.0424,news_research_speech,False,False,True,False
efficiency,4203.0,7777.0,1200.0,0.0361,0.0716,0.0195,0.0424,news_research_speech,True,False,True,False
colleagues,4685.0,2201.0,4065.0,0.0403,0.0203,0.066,0.0422,news_research_speech,False,False,True,False
trust,6414.0,3378.0,2494.0,0.0551,0.0311,0.0405,0.0422,news_research_speech,False,False,True,False
needs,4539.0,6968.0,1400.0,0.039,0.0641,0.0227,0.0419,news_research_speech,True,True,True,False
comments,7506.0,1081.0,3138.0,0.0645,0.0099,0.051,0.0418,news_research_speech,False,False,True,False
pressure,6010.0,2550.0,3012.0,0.0517,0.0235,0.0489,0.0414,news_research_speech,False,True,True,False
facilities,4744.0,5614.0,1926.0,0.0408,0.0517,0.0313,0.0413,news_research_speech,False,True,True,False
income,2734.0,8798.0,1172.0,0.0235,0.081,0.019,0.0412,news_research_speech,True,False,True,False
conflict,5036.0,4058.0,2640.0,0.0433,0.0373,0.0429,0.0412,news_research_speech,False,False,True,False
firms,1333.0,11697.0,271.0,0.0115,0.1076,0.0044,0.0412,news_research_speech,False,False,True,False
campaign,7478.0,265.0,3488.0,0.0643,0.0024,0.0567,0.0411,news_research_speech,False,True,True,False
authority,5198.0,3132.0,3038.0,0.0447,0.0288,0.0494,0.041,news_research_speech,False,False,True,False
sample,275.0,12661.0,246.0,0.0024,0.1165,0.004,0.041,news_research_speech,True,True,True,False
bill,6151.0,303.0,4136.0,0.0529,0.0028,0.0672,0.041,news_research_speech,False,False,True,False
equipment,4571.0,4756.0,2407.0,0.0393,0.0438,0.0391,0.0407,news_research_speech,True,True,True,False
chairman,2079.0,223.0,6262.0,0.0179,0.0021,0.1017,0.0406,news_research_speech,False,False,True,False
integrity,9284.0,1219.0,1844.0,0.0798,0.0112,0.03,0.0403,news_research_speech,False,False,True,False
music,9122.0,1204.0,1921.0,0.0784,0.0111,0.0312,0.0402,news_research_speech,False,False,True,False
room,4506.0,2117.0,3816.0,0.0387,0.0195,0.062,0.0401,news_research_speech,False,False,True,False
today,3045.0,567.0,5476.0,0.0262,0.0052,0.089,0.0401,news_research_speech,False,False,False,True
literature,385.0,12188.0,287.0,0.0033,0.1121,0.0047,0.04,news_research_speech,False,False,True,False
arrest,9009.0,140.0,2542.0,0.0775,0.0013,0.0413,0.04,news_research_speech,False,False,True,False
credit,3014.0,6595.0,2006.0,0.0259,0.0607,0.0326,0.0397,news_research_speech,False,False,True,False
goal,7239.0,3192.0,1680.0,0.0622,0.0294,0.0273,0.0396,news_research_speech,False,False,True,False
weeks,6772.0,2013.0,2577.0,0.0582,0.0185,0.0419,0.0395,news_research_speech,False,False,False,True
appointment,7437.0,489.0,3062.0,0.0639,0.0045,0.0497,0.0394,news_research_speech,False,False,True,False
post,8759.0,734.0,2180.0,0.0753,0.0068,0.0354,0.0392,news_research_speech,False,False,True,False
waste,3482.0,6676.0,1619.0,0.0299,0.0614,0.0263,0.0392,news_research_speech,False,False,True,False
sustainability,5144.0,5357.0,1488.0,0.0442,0.0493,0.0242,0.0392,news_research_speech,True,False,True,False
