text,occurrence_count
fresh elections,32.0
three draws,32.0
eyewitness accounts,31.0
former head,31.0
childhood cancer,31.0
broccoli,31.0
artisanal miners,31.0
fire extinguishers,31.0
formal letter,31.0
mackerel,31.0
cashew sector,30.0
underserved regions,30.0
kickbacks,30.0
one witness,30.0
fashion world,30.0
separate incident,30.0
tragic helicopter,30.0
show-stopping championships,30.0
two match points,30.0
savannah,30.0
mosquito nets,30.0
quarter-final stage,30.0
newly trained teachers,30.0
scorching sun,30.0
essential equipment,30.0
fertile ground,29.0
mobile money transfers,29.0
temporary road closures,29.0
half-hour mark,29.0
reverse school calendar,29.0
certain regions,29.0
traditional drumming,29.0
multiple people,29.0
yoghurt,29.0
masturbation,29.0
defence staff,29.0
daylight,29.0
news briefing,29.0
essential medical equipment,29.0
poorest countries,29.0
severe burns,29.0
baseball,29.0
cloves,29.0
skin cancer,29.0
assistant coach,28.0
statutory institutions,28.0
merch,28.0
potential customers,28.0
old road projects,28.0
cut-off points,28.0
eastern part,28.0
one guy,28.0
oily skin,28.0
vegetable farming,28.0
new consultant,28.0
zeaxanthin,28.0
school feeding program,28.0
mineral fuels,28.0
predecessor governments,28.0
hand gloves,28.0
new doors,28.0
phone interview,27.0
ambulance service,27.0
green buildings,27.0
former housekeepers,27.0
heavy fighting,27.0
local scene,27.0
infected individuals,27.0
marine life,27.0
underserved populations,27.0
free man,27.0
cortisol,27.0
new gas plant,27.0
one knee,27.0
odas,27.0
exporters association,26.0
similar projects,26.0
various political parties,26.0
lost evidence,26.0
swollen lymph nodes,26.0
fried rice,26.0
two motorbikes,26.0
lung cancer,26.0
agricultural machinery,26.0
three shifts,26.0
fewer people,26.0
temporary internet blackout,26.0
second floor,26.0
transgender people,26.0
cement industry,26.0
certain foods,26.0
human blood,26.0
open organisation,26.0
past administrations,26.0
online shopping,26.0
donor funding,26.0
escaped pet lion,26.0
armed robberies,26.0
wild celebrations,26.0
left flank,26.0
drug dosage,26.0
glaucoma,26.0
transportation fares,26.0
potential banana peel,26.0
unlicensed hotels,26.0
league log,26.0
songwriter,25.0
main entrance,25.0
premium gifts,25.0
late singer,25.0
old guy,25.0
interested participants,25.0
clean fuels,25.0
multiple sexual partners,25.0
previous regime,25.0
free refreshments,25.0
one location,25.0
light crude oil,25.0
opposition supporters,25.0
key doctor,25.0
folate,25.0
main city,25.0
musical chairs,25.0
winning penalty,25.0
anthrax,25.0
homebuyers,25.0
detailed analytical reports,25.0
prepared person,25.0
job creators,25.0
surplus food,25.0
better stage performer,25.0
key leader,25.0
one-week observance moves,25.0
personal scores,25.0
cement price cap,25.0
medical profession,25.0
animal feed,25.0
problem solvers,25.0
local police,24.0
poet,24.0
league leaders,24.0
university management,24.0
political scientist,24.0
official results,24.0
certain countries,24.0
latest public figure,24.0
war songs,24.0
said company,24.0
poultry feed,24.0
potential migrants,24.0
lucky listener,24.0
football enthusiasts,24.0
wider region,24.0
first-time offender,24.0
vanilla,24.0
pharma,24.0
bed bugs,24.0
berry,24.0
ultimate trophy,24.0
flash flooding,24.0
spinach,24.0
said vehicle,24.0
large portions,24.0
live bullets,24.0
graphite,24.0
informal settlements,24.0
leading technical teams,24.0
systems administrator,24.0
seasoned cloud architect,24.0
late actor,24.0
oratorical masterpiece,24.0
one expert,24.0
treasury market,24.0
unlicensed engineers,24.0
frontrunner,23.0
fellamakafui,23.0
various ministries,23.0
said land,23.0
apex bank,23.0
one lady,23.0
live rounds,23.0
local law enforcement,23.0
military club,23.0
interbank forex market,23.0
international sports events,23.0
immigration agents,23.0
largest opposition party,23.0
six-hour nationwide blackout,23.0
one constituency,23.0
ornaments,23.0
maxwell agbagba,23.0
nutritious meals,23.0
whole place,23.0
midwifery tutors,23.0
law enforcement officials,23.0
same-sex couples,23.0
washing machines,23.0
international stars,23.0
unsafe buildings,23.0
two main parties,23.0
water sector,23.0
dying embers,23.0
one trader,23.0
mining explosives,23.0
power thieves,23.0
downstream petroleum industry,23.0
telecommunications giant,23.0
foreign exchange receipts,23.0
shock waves,23.0
days market,22.0
billionaire,22.0
final product,22.0
local goods,22.0
right partner,22.0
epic concert,22.0
right one,22.0
knowledge-sharing forum,22.0
organic farming,22.0
international experts,22.0
unregistered drugs,22.0
radiotherapy,22.0
stews,22.0
cultural consultants,22.0
alleged acid attack,22.0
next two days,22.0
third consecutive time,22.0
job interview,22.0
child soldiers,22.0
dancehall music,22.0
three gold medals,22.0
zonal semis,22.0
water polo,22.0
significant player,22.0
certain places,22.0
lucky housewife,22.0
large areas,22.0
one set,22.0
itel,22.0
multiple women,22.0
courtroom memes,22.0
acacia,22.0
small groups,22.0
domestic football leagues,22.0
closest rival,22.0
deepfakes,22.0
cocoa butter,22.0
lutein,22.0
credible sources,22.0
multiple industries,22.0
care homes,22.0
peppers,21.0
key tool,21.0
pure water,21.0
eight victims,21.0
major foreign currencies,21.0
best student,21.0
private sector stakeholders,21.0
environmental activists,21.0
media sector,21.0
nitrogen,21.0
digital satellite channels,21.0
right materials,21.0
different communities,21.0
full-time whistle,21.0
rural electrification,21.0
better roads,21.0
good ambassadors,21.0
agro-processing equipment,21.0
service outlets,21.0
market days,21.0
different stakeholders,21.0
international tourists,21.0
detained nursing mothers,21.0
plain clothes,21.0
international audiences,21.0
street lighting,21.0
last two days,21.0
visa rules,21.0
first two sets,21.0
new lifelines,21.0
sonic memoir,21.0
churchgoers,21.0
amazing athlete,21.0
two landed properties,21.0
biggest clubs,21.0
corporate bonds,21.0
environmental advocates,21.0
cranny,21.0
global stages,21.0
four new bonds,21.0
especially young people,21.0
proud member,21.0
official sources,21.0
cultural displays,21.0
event centres,21.0
unused substitute,21.0
lunar surface,21.0
atherosclerosis,21.0
telecommunication services,20.0
new fire,20.0
music producer,20.0
comedy-savvy pundits,20.0
mineral water,20.0
flag football,20.0
bronchitis,20.0
quizzes,20.0
unknown location,20.0
dog bites,20.0
right infrastructure,20.0
policy debates,20.0
one school,20.0
six-yard box,20.0
head injuries,20.0
seasoned professional,20.0
cement sales,20.0
www,20.0
investment app,20.0
red meat,20.0
spot gold,20.0
civil society representatives,20.0
search giant,20.0
mature working professional,20.0
municipal bonds,20.0
commercial loans,20.0
mansa musa,20.0
high-profile political leaders,20.0
rural regions,20.0
mineral extraction,20.0
staunch advocate,20.0
garri,20.0
business-class tickets,20.0
iron deficiency,20.0
hydroxyurea,20.0
probing talk show,20.0
wrong baby,20.0
affordable smartphones,20.0
alumina,20.0
junk food,20.0
sugarcane juice,20.0
one community,20.0
current constitution,20.0
fact-checkers,20.0
salmonella,20.0
prison bus,20.0
best actor,20.0
speed race,20.0
brim,20.0
housing facility,20.0
media workers,20.0
liquid soaps,20.0
magnesium supplementation,20.0
jet fuel,20.0
general populace,19.0
police leadership,19.0
creative arts industry,19.0
police team,19.0
back seat,19.0
honourable court,19.0
market leader,19.0
professional services firm,19.0
utility providers,19.0
ore,19.0
bus stop,19.0
different thing,19.0
foreign buyers,19.0
certain cancers,19.0
mixed volleyball,19.0
antiretroviral therapy,19.0
medical field,19.0
certain words,19.0
electric stun guns,19.0
vibrant hub,19.0
magnesium supplements,19.0
international stages,19.0
entire area,19.0
cyber attacks,19.0
public gallery,19.0
neonatal jaundice,19.0
diverse industries,19.0
playing surface,19.0
well-capitalised banks,19.0
world-class institution,19.0
rainy day,19.0
three representative offices,19.0
two nursing mothers,19.0
water treatment,19.0
community organizations,19.0
high-speed internet,19.0
one generation,19.0
hawker,19.0
fresh produce,19.0
equator,19.0
ulcers,19.0
case investigator,19.0
different country,19.0
outdated infrastructure,19.0
private sector partnerships,19.0
local journalists,19.0
geographical boundaries,19.0
drug traffickers,19.0
southern state,19.0
technology firms,19.0
multiple platforms,19.0
firm believer,19.0
real estate investments,19.0
one dam,19.0
national secretary,19.0
one protester,19.0
uterine fibroids,19.0
traditionalists,19.0
crisis meeting,19.0
two break points,19.0
undisclosed location,19.0
private sector representatives,19.0
wide audience,19.0
main tournament,19.0
telecom sector,19.0
largest sector,19.0
front foot,19.0
blood products,19.0
two excavators,19.0
bustling streets,19.0
commercial flight,18.0
pavements,18.0
south-west,18.0
younger audiences,18.0
major stakeholder,18.0
valid license,18.0
elikem kumordzie,18.0
rural banking sector,18.0
forested mountainside,18.0
best bank,18.0
public lectures,18.0
open sea,18.0
nail-biting tie-breaker,18.0
underage girls,18.0
national service person,18.0
one project,18.0
multiple channels,18.0
real-time updates,18.0
first mpox test,18.0
best films,18.0
low-income families,18.0
runners-up,18.0
local organisations,18.0
separate interview,18.0
arrival hall,18.0
truly wonderful father,18.0
first complainant,18.0
fatal accidents,18.0
poultry farming,18.0
estate development,18.0
business trip,18.0
anti-galamsey unit,18.0
huge crowds,18.0
lottery industry,18.0
local suppliers,18.0
match days,18.0
fertile grounds,18.0
change agents,18.0
short statement,18.0
human brain,18.0
separate accidents,18.0
locally manufactured pistol,18.0
familiar face,18.0
nationwide tracking system,18.0
permanent residents,18.0
incumbent governments,18.0
the-spot,18.0
eight counts,18.0
organizing committee,18.0
key health projects,18.0
better infrastructure,18.0
court registry,18.0
cocoa processing,18.0
vaping,18.0
car rentals,18.0
transportation networks,18.0
mostly civilians,18.0
wrongful jail,18.0
foreign illegal miners,18.0
general goods,18.0
visualisers,18.0
duplicate docket,17.0
sea defence project,17.0
cholera outbreak,17.0
north-west,17.0
voice calls,17.0
healthy diets,17.0
vocal advocate,17.0
full scholarships,17.0
transformational leaders,17.0
strong supporter,17.0
contemporary art,17.0
courier services,17.0
electrical faults,17.0
newly sworn-in envoys,17.0
tin tomatoes,17.0
safer roads,17.0
responsible gaming brand,17.0
civilian infrastructure,17.0
deadly weapon,17.0
bated breath,17.0
main speaker,17.0
education campaigns,17.0
cocoa cultivation,17.0
teen users,17.0
first countries,17.0
one breath,17.0
cement products,17.0
gas production,17.0
top two teams,17.0
multiple sclerosis,17.0
autographs,17.0
nationwide art competition,17.0
silver certification,17.0
fixed deposits,17.0
local bourse,17.0
like-minded people,17.0
amateur filmmaker,17.0
aflatoxins,17.0
poor drainage,17.0
live radio,17.0
five districts,17.0
whole region,17.0
martial arts,17.0
zoos,17.0
top floor,17.0
multiple gunshot wounds,17.0
community volunteers,17.0
opening minutes,17.0
ladies category,17.0
cane sugar,17.0
rare earth minerals,17.0
two other individuals,17.0
first floor,17.0
local sources,17.0
single-entry visas,17.0
life-transforming surgery,17.0
strong bones,17.0
underprivileged communities,17.0
public financial system,17.0
tax fraud,17.0
dysentery,17.0
innocent person,17.0
human rights advocates,17.0
portable water,17.0
dead men,17.0
aman,17.0
brent,17.0
cash withdrawals,17.0
even members,17.0
business advisory services,17.0
arrival testing,17.0
communication firm,17.0
upper house,17.0
western city,17.0
art exhibitions,17.0
brief ceremony,16.0
forex market,16.0
media personality,16.0
second seed,16.0
various security agencies,16.0
rescue mission,16.0
criminal complaint,16.0
plumbers,16.0
four-year-old boy,16.0
short end,16.0
underground cables,16.0
beach soccer,16.0
armed illegal miners,16.0
prophecy desk,16.0
best-performing currency,16.0
high places,16.0
four sureties,16.0
tofu,16.0
border personnel,16.0
chemical fertilizers,16.0
just-ended polls,16.0
well-paying jobs,16.0
seven players,16.0
border officials,16.0
one commenter,16.0
antoa,16.0
state legislatures,16.0
app developers,16.0
jaundice,16.0
feces,16.0
state awards,16.0
suspected cocaine,16.0
bush fires,16.0
galamsey drones,16.0
jute bags,16.0
best gift,16.0
drop zone,16.0
international creditors,16.0
proper records,16.0
lithium-ion batteries,16.0
transit point,16.0
naked eye,16.0
public protests,16.0
treasury bonds,16.0
following persons,16.0
seabed,16.0
repeat offenders,16.0
under-served communities,16.0
lower-income countries,16.0
tourney,16.0
corona virus,16.0
younger voters,16.0
critical platform,16.0
normal people,16.0
first company,16.0
royal regalia,16.0
global icons,16.0
abbey,16.0
noodles,16.0
agricultural space,16.0
silk,16.0
multiple partners,16.0
political operatives,16.0
good leaders,16.0
local students,16.0
three square meals,16.0
muscle aches,16.0
large sections,16.0
fashion shows,16.0
fine lines,16.0
crack cocaine,16.0
lean proteins,16.0
female counterparts,16.0
cockpit voice recorders,16.0
previous auction,16.0
one stone,16.0
solo artist,16.0
semifinal stage,16.0
first instalment,16.0
rebates,16.0
selected personalities,16.0
sports fraternity,16.0
thrilling tie-breaker,16.0
passerby,16.0
low-income communities,16.0
emergency treatment,16.0
di victims,16.0
bygones,16.0
water contamination,16.0
motorcyclists,16.0
ultrasound scans,16.0
state prosecutors,16.0
political party manifestos,16.0
pump-action guns,16.0
 transformer,16.0
cimg,15.0
multiple locations,15.0
city authorities,15.0
coronavirus disease,15.0
extreme weather,15.0
first-half,15.0
first bank,15.0
recent floods,15.0
gender minister,15.0
floodlights,15.0
large-scale farming,15.0
outside court,15.0
penile cancer,15.0
four excavators,15.0
unvaccinated people,15.0
telecom services,15.0
independent media,15.0
domestic businesses,15.0
kente production,15.0
temperature checks,15.0
laboratory equipment,15.0
clean air projects,15.0
three-year-old girl,15.0
disability community,15.0
cleaner air,15.0
liver damage,15.0
politically exposed individuals,15.0
international company,15.0
upper chamber,15.0
sustainable materials,15.0
pop music,15.0
peaceful protesters,15.0
periodontitis,15.0
violent scuffle,15.0
sea-level rise,15.0
key market,15.0
first preliminary round,15.0
business travellers,15.0
statistical data,15.0
pedestrian knockdowns,15.0
different industries,15.0
investing public,15.0
fintech startups,15.0
child birth,15.0
crime officer,15.0
largest gathering,15.0
packets,15.0
one driver,15.0
different platforms,15.0
toilet cubicles,15.0
infected animals,15.0
all-expenses-paid trip,15.0
local bond market,15.0
respiratory droplets,15.0
online orders,15.0
private tertiary institutions,15.0
short periods,15.0
two dialysis sessions,15.0
healthy food,15.0
parliament fire,15.0
longer periods,15.0
ensuing years,15.0
menswear,15.0
imported fossil fuels,15.0
di hospital,15.0
di city,15.0
preferred communication platform,15.0
boxing world,15.0
one breast,15.0
healthy body,15.0
dark web,15.0
sustainable cities,15.0
green technology,15.0
prepared candidate,15.0
college campuses,15.0
special vehicle,15.0
sepsis,15.0
one building,15.0
springs,15.0
peaceful demonstrations,15.0
heavy weapons,15.0
amphibians,15.0
new clients,15.0
black communities,15.0
elephantiasis,15.0
shell companies,15.0
hair dryers,15.0
divorcee,15.0
bourbon,15.0
iconic bottle,15.0
fine print,15.0
central midfield,15.0
unsuspecting public,15.0
halfway line,15.0
desserts,15.0
original sound,15.0
perfectionist,15.0
black tea,15.0
oil market,15.0
government property,15.0
alternative energy sources,15.0
main body,15.0
university student,15.0
stretchers,15.0
specific brands,15.0
respiratory illnesses,15.0
elephant family,15.0
input dealers,15.0
one female,15.0
non-life-threatening injuries,15.0
sinners,15.0
broad audience,15.0
top young rappers,15.0
respected figure,15.0
selenium,15.0
new parliamentary chamber,15.0
business meetings,15.0
mixed martial arts,15.0
day schools,15.0
rural schools,15.0
timber industry,14.0
upper part,14.0
new envoys,14.0
one-eighth stage,14.0
tourism ministry,14.0
federal court,14.0
two journalists,14.0
five-member panel,14.0
flight data,14.0
right places,14.0
reliable power supply,14.0
law lecturer,14.0
catering services,14.0
successful women,14.0
jama night,14.0
unpaid local manufacturers,14.0
qualified professionals,14.0
disability organisations,14.0
foreign institutions,14.0
legal community,14.0
baby food,14.0
different person,14.0
wider audiences,14.0
strengthened public structures,14.0
local flavours,14.0
higher temperatures,14.0
sharp-eyed social commentator,14.0
krontire family,14.0
global nutrition company,14.0
geologists,14.0
forced marriages,14.0
electricity bill payments,14.0
direct phone call,14.0
double daily flights,14.0
voluntary military service,14.0
trade partnerships,14.0
sanitation workers,14.0
full gear,14.0
private stakeholders,14.0
mid-year updates,14.0
fake drugs,14.0
plotters,14.0
numerous individuals,14.0
global map,14.0
second-hand clothing,14.0
defibrillators,14.0
one account,14.0
perfumery,14.0
heavy gunfire,14.0
extreme rainfall,14.0
third floor,14.0
knockout rounds,14.0
final draft,14.0
rainwater harvesting,14.0
back burner,14.0
current board,14.0
extra holiday,14.0
strawberries,14.0
local football,14.0
independent bodies,14.0
tissue paper,14.0
democratically elected governments,14.0
apostles,14.0
foreign schools,14.0
active contributors,14.0
emergency vehicles,14.0
long-awaited album,14.0
unhealthy fats,14.0
fake academic titles,14.0
flood-hit district,14.0
private meetings,14.0
twin classroom projects,14.0
civilian populations,14.0
donor funds,14.0
postgraduate programmes,14.0
gunshot injuries,14.0
professional teacher,14.0
second-hand clothes,14.0
manipulators,14.0
fintech firms,14.0
financial regulators,14.0
downloads,14.0
yellow fever,14.0
face shields,14.0
nine regions,14.0
drug user,14.0
tech startups,14.0
forest clubs,14.0
domestic scene,14.0
recording leaked tape,14.0
oldest player,14.0
state money,14.0
electric power,14.0
wayside,14.0
three nominations,14.0
fake titles,14.0
public address systems,14.0
independent artiste,14.0
self-driving cars,14.0
online payments,14.0
mudslides,14.0
local hospitals,14.0
various administrations,14.0
green hydrogen,14.0
resilient communities,14.0
nearby hospitals,14.0
organ transplants,14.0
public housing,14.0
public works,14.0
urban planners,14.0
seven-year-old girl,14.0
music bands,14.0
countless women,14.0
teqball,14.0
yellow mombin,14.0
tantalum,14.0
dead people,14.0
regional trainers,14.0
biggest events,14.0
family sources,14.0
party representatives,14.0
destiny haters,14.0
certain sections,14.0
environmental experts,14.0
terrorist organisations,14.0
severe turbulence,14.0
civilian areas,14.0
community centres,14.0
pus-filled lesions,14.0
grooves,14.0
agricultural jobs,14.0
syphilis,14.0
niacin,14.0
hospital officials,14.0
current wife,14.0
women businesses,14.0
multiple stab wounds,14.0
eight schools,14.0
loud bang,14.0
chronic non-communicable diseases,14.0
gestational diabetes,14.0
rubber ring,14.0
baked goods,14.0
neurosurgery,14.0
different judge,14.0
gonorrhea,14.0
black polythene bag,14.0
lentils,14.0
two-bedroom apartment,14.0
fine dining,14.0
open university,14.0
 projects,14.0
ashley,13.0
vice president-elect,13.0
coming days,13.0
handcuffs,13.0
two officials,13.0
pressure group,13.0
custodian,13.0
senior fellow,13.0
two-day workshop,13.0
appeals court,13.0
two-day conference,13.0
policy analyst,13.0
cornerstones,13.0
motor rider,13.0
justice ministry,13.0
historian,13.0
tracklist,13.0
pyramids,13.0
late substitute,13.0
trained personnel,13.0
large-scale mining sector,13.0
senior administration official,13.0
water meters,13.0
wearer,13.0
political rally,13.0
dryers,13.0
unprecedented cross-border attack,13.0
state lines,13.0
traditional financial institutions,13.0
lesbians,13.0
past nine years,13.0
community champions,13.0
male fruit,13.0
existing record,13.0
one judge,13.0
energy investors,13.0
just-ended election,13.0
four nominations,13.0
drug users,13.0
better lover,13.0
married people,13.0
smoke detectors,13.0
surprise cinema sequel,13.0
previous session,13.0
big chunk,13.0
fin,13.0
grey hair,13.0
hatchet,13.0
playgrounds,13.0
top three winners,13.0
federal grand jury,13.0
agro-processors,13.0
voting pool,13.0
four continents,13.0
red armbands,13.0
media companies,13.0
lug nuts,13.0
diesel cars,13.0
recent spillage,13.0
bioactive compounds,13.0
similar project,13.0
youngest population,13.0
computer chips,13.0
traditional rhythms,13.0
two different things,13.0
ninth minute,13.0
event cancellations,13.0
airport contract,13.0
modern medicine,13.0
everyday essentials,13.0
new users,13.0
poetry recitals,13.0
two leading parties,13.0
soya bean,13.0
smart technology,13.0
beating heart,13.0
constitutional committee,13.0
fun-packed activities,13.0
retail customers,13.0
liver cancer,13.0
close season,13.0
different schools,13.0
white police officer,13.0
upcoming presidential election,13.0
first study,13.0
affordable homes,13.0
local innovations,13.0
three albums,13.0
private associations,13.0
one faction,13.0
best clubs,13.0
tech innovators,13.0
different dates,13.0
general citizenry,13.0
one-year bill,13.0
permanent member,13.0
money audit,13.0
sesame,13.0
cleaner fuels,13.0
hot chase,13.0
guided tour,13.0
penultimate round,13.0
residential customers,13.0
black smoke,13.0
neck pain,13.0
patriotic songs,13.0
past government,13.0
fake degrees,13.0
home loans,13.0
walnuts,13.0
poor homes,13.0
heartfelt statement,13.0
parent club,13.0
driving seat,13.0
certain goods,13.0
brothels,13.0
cashew processing,13.0
renewable energy infrastructure,13.0
auction house,13.0
postal ballots,13.0
animations,13.0
biggest stages,13.0
disaster survivors,13.0
local financial institutions,13.0
fine finish,13.0
plant breeding,13.0
similar facilities,13.0
great nutrition products,13.0
value-added products,13.0
methamphetamine,13.0
current power outages,13.0
special celebrations,13.0
agro-processing factories,13.0
fishing boats,13.0
first two rounds,13.0
pivotal player,13.0
health care services,13.0
forest rescue operations,13.0
sex abuse victim,13.0
ongoing ambulance case,13.0
cocoa powder,13.0
likely voters,13.0
akple,12.0
photojournalism,12.0
special purpose vehicle,12.0
long jump,12.0
award ceremony,12.0
large crowd,12.0
bad weather,12.0
fashion designer,12.0
district court,12.0
old bonds,12.0
sore throat,12.0
backseat,12.0
evangelist,12.0
pensioner bondholders,12.0
star school,12.0
former prime minister,12.0
original panel,12.0
different political parties,12.0
certain items,12.0
security infrastructure,12.0
local content production,12.0
fast food,12.0
late politician,12.0
additional staff,12.0
nine players,12.0
large family,12.0
cliffs,12.0
skin diseases,12.0
dental care,12.0
presidential planes,12.0
new boats,12.0
sole buyer,12.0
building systems,12.0
youth internship scheme,12.0
key platform,12.0
voter data,12.0
one engine,12.0
beach volleyball,12.0
body aches,12.0
tropical depression,12.0
food assistance,12.0
single platform,12.0
two-day training workshop,12.0
catastrophic flooding,12.0
energy-efficient technologies,12.0
book industry,12.0
separate interviews,12.0
patient data,12.0
certain constituencies,12.0
financial literacy programs,12.0
underside,12.0
thiamine,12.0
progesterone,12.0
underprivileged students,12.0
cocoa output,12.0
chlamydia,12.0
working-age population,12.0
viable businesses,12.0
youngest man,12.0
clean energy technologies,12.0
professional game,12.0
next generations,12.0
corporate teams,12.0
large section,12.0
anonymous source,12.0
baby number,12.0
university degree,12.0
paupers,12.0
radio broadcasting,12.0
migrant arrivals,12.0
digital learning tools,12.0
maternity clothes,12.0
potential victims,12.0
opposite lane,12.0
flood water,12.0
full documentary,12.0
high table,12.0
multiple surgeries,12.0
mobile money providers,12.0
mammograms,12.0
two males,12.0
certain products,12.0
laboratory managers,12.0
mumps,12.0
maiden goal,12.0
televised statement,12.0
mounting losses,12.0
customer funds,12.0
protest walk,12.0
wake up call,12.0
foreign loans,12.0
long walks,12.0
happy birthday,12.0
radiographers,12.0
property developers,12.0
improved prison feeding,12.0
new acting premier,12.0
proper handwashing,12.0
the-line,12.0
pandemic hit,12.0
subject matter experts,12.0
respiratory issues,12.0
social protection systems,12.0
ozone layer,12.0
youth organisations,12.0
wrong foot,12.0
right products,12.0
aspiring homeowners,12.0
elephant fraternity,12.0
three representatives,12.0
one charge,12.0
mushroom,12.0
netball,12.0
water production,12.0
rubber plantations,12.0
luxury hotels,12.0
inquiry centres,12.0
local organizations,12.0
electronic money,12.0
lowest fuel price,12.0
euro area,12.0
vast swathes,12.0
three other persons,12.0
next election cycle,12.0
accident site,12.0
household toilets,12.0
quality housing,12.0
hedge funds,12.0
philosophers,12.0
beacons,12.0
scents,12.0
cybersecurity experts,12.0
public libraries,12.0
severe headaches,12.0
toffees,12.0
hospital premises,12.0
long season,12.0
home gardening,12.0
electrical fault,12.0
different companies,12.0
