text,language,priority,option1,option2,option3,model1,model2,model3
Pɛmingu nɛ gbeɔ nya kɛ pɛlɔku: Enɛ ɔ ji pɛminguhi nɛ a gbeɔ a nya kɛ pɛlɔkuhi.,ada,1,Nasal vowel that ends with 'ng': These are nasal vowels that end with 'ng'.,,,gemini-3.6-flash,,
"Ngɛ nɔhyɛ ni nɛ wa ha amɛ a mi ɔ, o ma yo kaa pɛmingu ɔmɛ hɛɛ pɛlɔkuhi ngɛ a nyagbe.",ada,1,"In the examples we have given, you will notice that the nasal vowels have 'ng' at their end.",,,gemini-3.6-flash,,
Ni tsumi 1.1 Pɛmingu kalemi,ada,1,Exercise 1.1 Nasal Vowel Identification,,,gemini-3.6-flash,,
Ngɔɔ mo nitsɛ o munyuhi kɛ kale nɔ nɛ pɛmingu ji.,ada,1,Use your own words to describe what syllable division is.,,,gemini-3.6-flash,,
Moo tsɔɔ pɛmingu slɔɔtohi nɛ ngɛ Dangme mi.,ada,1,State the different types of syllable division that exist in Dangme.,,,gemini-3.6-flash,,
Moo tsɔɔ pɛmingu si fɔfɔɛ he se nami ngɛ munyungu peemi mi.,ada,1,State the importance of the nature of syllable division in word formation.,,,gemini-3.6-flash,,
Pɛmingu blɔ nɔ tomi: Pɛmingu he blɔ nɔ tomi je muno ngɛ gbihi a mi.,ada,1,Syllables structure: The structure of syllable is complete in languages.,,,gemini-3.6-flash,,
C ) kɛ kaleɔ pɛlɔku nɛ wa ngɔɔ ( V ) kɛ kaleɔ pɛlɔ.,ada,1,C ) is used to represent a consonant and ( V ) is used to represent a vowel.,,,gemini-3.6-flash,,
Pɛmingu si fɔfɔɛ kadimi nihi:,ada,1,Syllable structure markings:,,,gemini-3.6-flash,,
Ni tsumi 1.2 Pɛmingu si fɔfɔɛ ngɛ Dangme mi,ada,1,Activity 1.2 Syllable structure in Dangme,,,gemini-3.6-flash,,
Moo sɛsɛ pɛmingu si fɔfɔɛ ngɛ Dangme mi ɔ he.,ada,1,Explain the syllable structure in Dangme.,,,gemini-3.6-flash,,
De o heto ɔ ngɔ ha nyɛ tsumi bi,ada,1,Say your answer to your group members.,,,gemini-3.6-flash,,
Ni tsumi 1.3 Munyungu peemi ngɛ pɛmingu he blɔ nɔ tomi nya,ada,1,Activity 1.3 Word formation based on syllable arrangement,,,gemini-3.6-flash,,
O kɛ nyɛ sibi ɔmɛ nɛ sɛsɛ pɛmingu ɔmɛ a si fɔfɔɛ ngɛ munyungu fɛɛ munyungu,ada,1,Match the pairs with the underlying meaning of each word.,,,gemini-3.6-flash,,
Tukpɛtukpɛ kɛ Tatu ji huɛmɛ.,ada,1,Owl and Ant were friends.,,,gemini-3.6-flash,,
Tatu sɛɔ e tsu nɛ e bua niye ni nya wo mi ɔ mi nɛ e kɛ e bimɛ yeɔ bɔɔbɔɔbɔɔ.,ada,1,Ant would enter his room where he had stored food and eat peacefully with his children.,,,gemini-3.6-flash,,
"Ke o na lɛ nɛ fiɛ bgɛ lɛ yee ɔ, e ni ngɛ mɔbɔ",ada,1,"If you saw him playing and singing, you would pity him.",,,gemini-3.6-flash,,
Ni tsumi 1.4 Munyungu mi gbami ngɔ wo pɛmingu blɔ nɔ tomi mi.,ada,1,Activity 1.4: Inserting vocabulary into the matching structure.,,,gemini-3.6-flash,,
Gbimikɔmi he blɔ nɔ tomi,ada,1,System of intonation,,,gemini-3.6-flash,,
Gana gbihi tsuo tsuɔ gbimikɔmi he ni.,ada,1,All Ghanaian languages make use of intonation.,,,gemini-3.6-flash,,
"Ngɛ Gana a, Ohiɛ, Ga, Kasɛm, Ohuɛ kɛ gbi kpa komɛ hɛɛ hiɔwe kɛ sisi gbimikɔmi",ada,1,"In Ghana, Akan, Ga, Kasem, Ewe, and some other languages have high and low tones",,,gemini-3.6-flash,,
"Dangme, Dagbaani kɛ gbi kpa komɛ lɛɛ a ngɛ sisi, kpɛti kɛ hiɔwe gbimikɔmi.",ada,1,"Dangme, Dagbani, and some other languages rather have low, mid, and high tones.",,,gemini-3.6-flash,,
Kane munyuza nɛ nyɛɛ se nɛ ɔmɛ nɛ e maa ye bua mo kɛ ha sisi numi.,ada,1,Read the following sentences to help you understand.,,,gemini-3.6-flash,,
Moo tsɔɔ gbimikɔmi nɛ munyungu ‘ma’ hɛɛ ngɛ munyuza etɛ ɔmɛ a mi.,ada,1,Indicate the tone that the word ‘ma’ carries in the three sentences.,,,gemini-3.6-flash,,
Gbimikɔmi ni tsumi: Gbimikɔmi he ngɛ se nami ngɛ ni tsumi nɛ e tsuɔ ɔmɛ a he.,ada,1,Applied semantics: Semantics is useful for the functions it performs.,,,gemini-3.6-flash,,
Ni tsumi nɛ ɔmɛ ji munyungu sisi numi ngɛ lɛ nitsɛ e dɛhe kɛ animosa ni tsumi,ada,1,These functions include word meaning in its own right and figurative use,,,gemini-3.6-flash,,
"(benɔmimami, peemiblɔnɔ kɛ kuami peemi).",ada,1,"(metaphor, idiom, and proverbs).",,,gemini-3.6-flash,,
"Kofi, bá hiɛ ɔ!",ada,1,"Kofi, come here!",,,gemini-3.6-flash,,
Enɛ ɔ tsɔɔ fami kɛ amlɔbe ngɛ animosa glɛ nɔ.,ada,1,This shows a command and present time on a figurative level.,,,gemini-3.6-flash,,
Enɛ ɔ jeɔ benɛbe juɛmi kpo ngɛ animosa glɛ nɔ.,ada,1,This reveals the line's thought on the chalkboard.,,,gemini-3.6-flash,,
Ni tsumi 1.5 Gbimikɔmi kalemi,ada,1,Activity 1.5 Phonology analysis,,,gemini-3.6-flash,,
Ngɔɔ mo nitsɛ o munyuhi kɛ kale nɔ nɛ gbimikɔmi ji.,ada,1,Use your own words to analyze what phonology is.,,,gemini-3.6-flash,,
De o heto ngɔ ha nyɛ tsu,ada,1,Give your answer to the class,,,gemini-3.6-flash,,
Ngɔɔ nɔhyɛ ni nɛ da kɛ tsɔɔ Dangme gbimikɔmi ɔ nya.,ada,1,Use correct examples to explain Dangme phonology.,,,gemini-3.6-flash,,
"Ngɛ kuuhi a mi ɔ, nyɛɛ sɛsɛ gbimikɔmi ni tsumi he.",ada,1,"In groups, discuss phonology work.",,,gemini-3.6-flash,,
Ni tsumi 1.6 Gbimikɔmi yomi ni tsumi,ada,1,Activity 1.6 Phonology identification exercise,,,gemini-3.6-flash,,
Nyɛɛ nuu nyɛ he enyɔɔnyɔ nɛ nyɛɛ bu munyungu nɛ ɔmɛ tue.,ada,1,Listen to each other in pairs and pay attention to these words.,,,gemini-3.6-flash,,
Nyɛɛ tsɔɔ gbimikɔmi mi nɛ pɛmingu/munyungu nɛ ɔmɛ hɛɛ.,ada,1,Indicate the phonology carried by these sounds/words.,,,gemini-3.6-flash,,
De o heto ɔ ngɔ ha nyɛ tsu mi bi ɔmɛ.,ada,1,Tell your answer to your classmates.,,,gemini-3.6-flash,,
Moo ngma pɛmingu slɔɔtohi ngɛ Dangme mi nɛ o ha nɔhyɛ ni etɛɛtɛ.,ada,1,Write different vowels in Dangme and give three examples for each.,,,gemini-3.6-flash,,
Moo ngma gbimikɔmi slɔɔtohi ngɛ Dangme mi nɛ o ha nɔhyɛ ni etɛɛtɛ kɛ ha,ada,1,Write different conceptualizations in Dangme and give three examples for each to,,,gemini-3.6-flash,,
Moo ngɔ nɔhyɛ ni etɛ kɛ tsɔɔ gbimikɔmi ni tsumi ngɛ Dangme mi ɔ nya.,ada,1,Use three examples to explain the function of conceptualization in Dangme.,,,gemini-3.6-flash,,
Sɛ Enyɔ MI GBAMI 2,ada,1,CHAPTER TWO / SECTION TWO,,,gemini-3.6-flash,,
Ni sɛɛmi ngɛ nɔ pɔtɛɛ ko he kɛ ni kanemi,ada,1,Discussion about a specific topic and reading,,,gemini-3.6-flash,,
Oti pɔtɛɛ ngɛ demiyo ko mi ɔ ji nɔ he nɛ demiyo ɔ kɔɔ.,ada,1,The specific main point in a passage is what the passage is about.,,,gemini-3.6-flash,,
Munyutso Oti: Munyutso oti ji nɔ pɔtɛɛ nɛ a tu he munyu ngɛ kuku aloo demiyo,ada,1,Main Topic: A main topic is the specific thing spoken about in a short text or passage.,,,gemini-3.6-flash,,
A deɔ nihi babauu kɛ kɔɔ munyutso oti ɔ he.,ada,1,Many things are said concerning the main topic.,,,gemini-3.6-flash,,
Kane demiyo yi ɔ kɛ e nya blimi ɔ: Mɛni a de ngɛ demiyo ɔ he?,ada,1,Read the title and the introduction of the paragraph: What was said about the paragraph?,,,gemini-3.6-flash,,
Hla munyuza oti ɔ: E pɔɔ kuku ɔ sisi jemi.,ada,1,Look for the key sentence: It is usually short at the beginning.,,,gemini-3.6-flash,,
Nɔ domi: Ngɔɔ mo nitsɛ o munyuhi kɛ do demiyo aloo kuku ɔ nɔ.,ada,1,Summary: Use your own words to summarize the paragraph or short text.,,,gemini-3.6-flash,,
Nɔ kɛ nɔ he tomi: Ngɔɔ o nɔ domi ɔ kɛ to demiyo nɛ o kane ɔ nyagbe ɔ he.,ada,1,Comparison: Compare your prediction with the end of the text you read.,,,gemini-3.6-flash,,
E sa nɛ o hla munyungu oti ɔmɛ.,ada,1,You should look for the key words.,,,gemini-3.6-flash,,
O ma nyɛ maa to tsui si kɛ kane demiyo ɔ mi ekohu nɛ o nu sisi saminya.,ada,1,You can be patient and read through the text again to understand it well.,,,gemini-3.6-flash,,
Ni kanemi vii suhi he hiɛ se wa maa kase enyɔ pɛ nɛ ji:,ada,1,"Intensive reading has many features, but we will learn only two, which are:",,,gemini-3.6-flash,,
"Ni kanemi esɔesɔ kɛ hla munyunguhi, munyukpɔfahi kɛ munyukpɔhi a sisi:",ada,1,"Fast reading to look for the meanings of words, phrases, and sentences:",,,gemini-3.6-flash,,
Ngɔɔ ni kanemi vii he nile nɛ o na a kɛ kane demiyo nɛ nyɛɛ se nɛ ɔ.,ada,1,Use the deep reading knowledge you have gained to read the following document.,,,gemini-3.6-flash,,
Jije oslɔɔke ngua nɛ ɔ je?,ada,1,Where did this huge disaster come from?,,,gemini-3.6-flash,,
Mɛnɔ nɛ ha e ku pue kpo kikɛ nɛ ɔ?,ada,1,Who caused this kind of ruin?,,,gemini-3.6-flash,,
Obo we tso ngua a ku.,ada,1,A big tree's fall cannot be hidden.,,,gemini-3.6-flash,,
E ngɔ nine fɔ Tatsɛ Okpɔtɛsa nɔ piani ketekete nɛ e kpa lilɛ bu si ngɛ,ada,1,He laid hands on Commander Okpɔtɛsa in the heat of the afternoon and he fell flat on his face.,,,gemini-3.6-flash,,
O kɔ wa tu nɛ o kɔ wa gbaja.,ada,1,You took our gun and took our belt.,,,gemini-3.6-flash,,
Hɛdo sane ji mɛni?,ada,1,What is the serious matter?,,,gemini-3.6-flash,,
"Benɛ Yaa Kɔɔyo je jua kɛ ma a, ambulansi ko ba be e he kɛ fo.",ada,1,"When Yaa Kɔɔyo was returning from the market, an ambulance rushed past her.",,,gemini-3.6-flash,,
"E nɔ jena a, a pue nɔ kɛ ya mɔtsle ɔ ekohu ya to e dlami he blɔ nya.",ada,1,"At dawn, he was taken back to the mortuary to prepare for his burial.",,,gemini-3.6-flash,,
Ma a tsuo wo yana.,ada,1,The whole town mourned.,,,gemini-3.6-flash,,
Weku nyatsɛ ɔ tsɔ nɛ a ya ngɔ a odehe ɔ kɛ je Mangoase mɔtsle nɛ a kɛ lɛ nɛ ba to ngɛ,ada,1,The head of the family arranged to fetch their royal from the Mangoase mortuary to be kept in,,,gemini-3.6-flash,,
Munyu nɛ ɔ he wa ha Mangoasetsɛmɛ se e he nɔ ko be nɛ a ma nyɛ pee.,ada,1,"This issue was difficult for the Mangoase people, but there was nothing they could do about it.",,,gemini-3.6-flash,,
Ma mluku ɔ tsuo hwɔ lele kɛ a nɔ ya kɛ,ada,1,The whole town boarded a boat with them and went to,,,gemini-3.6-flash,,
Okpɔtɛsa gbenɔ nɛ ɔ ye ma a tsuo awi.,ada,1,This death of Okpɔtɛsa deeply saddened the whole town.,,,gemini-3.6-flash,,
Baiblo munyu de niinɛ ke ‘Wa ni tsumihi maa,ada,1,The Bible text says truly that 'Our works will,,,gemini-3.6-flash,,
Okpɔtɛsa ni tsumi kpakpa nyɛɛ e se niinɛ.,ada,1,Okpɔtɛsa's good works truly followed him.,,,gemini-3.6-flash,,
Mo yo munyutso oti ngɛ demiyo ɔ mi.,ada,1,Extract the main topic in the narrative poem.,,,gemini-3.6-flash,,
Sɛsɛ munyutso oti ɔ he.,ada,1,Discuss the main topic.,,,gemini-3.6-flash,,
Ni tsumi 2.2 MUNYUTSO YOMI,ada,1,Exercise 2.2 READING COMPREHENSION,,,gemini-3.6-flash,,
Moo kane demiyo nɛ nyɛɛ se nɛ ɔ.,ada,1,Read the short story below.,,,gemini-3.6-flash,,
Mo yo munyutso oti ngɛ demiyo ɔ mi nɛ o ngma.,ada,1,Identify the main theme in the story and write it down.,,,gemini-3.6-flash,,
Mo de o heto ngɔ ha nyɛ tsu mi bi ɔmɛ nɛ o kɛ o heto ɔ nɛ to mɛ hu a ni ɔmɛ,ada,1,Share your answer with your classmates and compare your response with theirs.,,,gemini-3.6-flash,,
I ye maa pee jeha eywiɛ pɛ nɛ ye nyɛ nɛ fɔ mi ɔ si je nɛ ɔ mi.,ada,1,I was only four years old when my mother passed away.,,,gemini-3.6-flash,,
"Enɛ ɔ he ɔ, ye wekuli a ngɔ nɛ i hi nɛ ati ni komɛ po,",ada,1,"Because of this, I lived with various relatives,",,,gemini-3.6-flash,,
Ye huɛmɛ a ngɔ nɛ i naa buajɔ bɔɔ ngɛ ke i ya sukuu.,ada,1,It is among my friends that I find a little comfort when I go to school.,,,gemini-3.6-flash,,
"Buajɔ sane ji kaa, nɛ i su sɛ etɛne ɔ ngɛ Siniɔ Hai",ada,1,"The good news was that, when I reached the third year in Senior High",,,gemini-3.6-flash,,
"Sukuu ɔ, a wo mi kaa sukuubi ɔmɛ tsuo a nya dalɔ nɛ a deɔ ke sukuu plifɛti ɔ.",ada,1,"School, I was appointed as the head of all the students, called the school prefect.",,,gemini-3.6-flash,,
Ni tsumi 2.3 Munyutsohi nɛ he hia yomi,ada,1,Activity 2.3 Reading key themes,,,gemini-3.6-flash,,
Nyɛɛ kɛ nyɛ tsu mi bi ɔmɛ nɛ sɛsɛ nyɛ munyutso oti ɔ he.,ada,1,Discuss your main topic with your classmates.,,,gemini-3.6-flash,,
"Jokuɛ yo: Ye nyɛmi, o susu tue bumi he se nami he gblee lo?",ada,1,"Girl: My sibling, have you ever thought about the benefit of obedience?",,,gemini-3.6-flash,,
"Jokuɛ nyumu: Ee, i susu kaa e ji mlaa nɔ yemi kɛ nɔ yemi bumi.",ada,1,"Boy: Yes, I think it means obeying laws and respecting authority.",,,gemini-3.6-flash,,
Pi mlaa nɔ yemi pɛ ji tue bumi.,ada,1,Obedience is not only about obeying the law.,,,gemini-3.6-flash,,
Anɔkuale yemi kɛ hɛ kɛ nɔ fɔmi tsuo piɛɛ,ada,1,Honesty and trust are all included.,,,gemini-3.6-flash,,
"Ke o bu o fɔli tue ɔ, o ngɛ tsɔe kaa o ngɛ hɛ kɛ nɔ fɔmi ngɛ a tsɔsemi kɛ a blɔ tsɔɔmi mi.",ada,1,"If you obey your parents, you are showing that you have trust in their training and guidance.",,,gemini-3.6-flash,,
A bu nɔ tue kɛkɛ ɔ yi kɛ bua we wɔ.,ada,1,Merely listening to someone does not bring us happiness.,,,gemini-3.6-flash,,
Nihi nɛ wa nui a sisi aloo wa nɛ a nya,ada,1,People we do not understand or whom we do not see,,,gemini-3.6-flash,,
Jokuɛ nyumu: I susu we he kikɛ nɛ ɔ gblee.,ada,1,Boy: I have never thought about it this way before.,,,gemini-3.6-flash,,
Jokuɛ nyumu: Nɔ nɛ o de ɔ da.,ada,1,Boy: What you said is correct.,,,gemini-3.6-flash,,
Ma bɔ mɔde nɛ ma bu tue nɛ ma bu nɔ ngɛ ye wami be ɔ,ada,1,I will try my best to listen and respect others throughout my life.,,,gemini-3.6-flash,,
Ni tsumi 2.4 Ni sɛɛmi,ada,1,Activity 2.4 Conversation,,,gemini-3.6-flash,,
Nyɛɛ nuu nyɛ he enyɔɔnyɔ nɛ nyɛɛ ngma ni sɛɛmi kaa nɔ nɛ wa na nɛ ɔ.,ada,1,Listen in pairs and write a conversation like the one we just saw.,,,gemini-3.6-flash,,
Ni tsumi 2.5 Ni kanemi vii he ga lele,ada,1,Activity 2.5 Deep reading guidance,,,gemini-3.6-flash,,
Nyɛɛ kane demiyo nɛ nyɛɛ se nɛ ɔ nɛ nyɛ ha sane bimihi nɛ nyɛɛ se ɔmɛ a heto.,ada,1,Read the passage below and answer the following questions.,,,gemini-3.6-flash,,
Sukuu nɔ hyɛlɔ ji nɔ yemi nɔhyɛ nɔ ngɛ sukuu ɔ.,ada,1,A school administrator is the authority figure in the school.,,,gemini-3.6-flash,,
E sa nɛ e pee nihi nɛ maa ku nɔ buimi nya pɛsɛpɛsɛ.,ada,1,He must strictly discipline those who show disrespect.,,,gemini-3.6-flash,,
Yi mi susumi sane bimi,ada,1,Thought-provoking question,,,gemini-3.6-flash,,
Ni kanemi kɛ mi kuɔmi he suhi,ada,1,Skills for extensive reading,,,gemini-3.6-flash,,
Ni kanemi kɛ mi kuɔmi he su komɛ nɛ nyɛɛ se nɛ ɔ nɛ.,ada,1,Here are some skills for extensive reading.,,,gemini-3.6-flash,,
A kɛ kaleɔ nɔ lemi kanemi.,ada,1,It is used to test reading comprehension.,,,gemini-3.6-flash,,
Nɔ/Mi hyɛmi: E ji blɔ nɔ nɛ ni kaneli guɔ kɛ hyɛɔ kaa a nu ni kanemi ko sisi lo.,ada,1,Self-monitoring/Checking: This is the way readers use to check whether they understand a reading text.,,,gemini-3.6-flash,,
Nɔ kɛ nɔ he tomi: O daa nɔ nɛ o kane momo ɔ nɔ kɛ hyɛɔ nɔ kpa nɛ o li blɔ.,ada,1,Comparison: You rely on what you have already read to look at another thing you did not expect.,,,gemini-3.6-flash,,
He akɔtaa bumi: A buɔ nɔ nɛ a kane mo ɔ he akɔtaa.,ada,1,Self-assessment: Assessment is made on what you have read.,,,gemini-3.6-flash,,
Falefale peemi ji nɔmlɔ adesa he wami nami sisi poku.,ada,1,Cleanliness is the bedrock of human good health.,,,gemini-3.6-flash,,
Ni tsumi 2.6 Ni kanemi kɛ mi kuɔmi he su komɛ,ada,1,Activity 2.6 Some skills in reading and deep understanding,,,gemini-3.6-flash,,
Mo kai ni kanemi kɛ mi kuɔmi he su nɛ wa kase kɛ be ɔ.,ada,1,Remember the skills in reading and deep understanding that we learned previously.,,,gemini-3.6-flash,,
"Jehanɛ ɔ, tsɔɔ bɔ nɛ o susu kaa a ma nyɛ ma blɛke demiyo nɛ ɔ mi ha.",ada,1,"Now, explain how you think this text could be broken down/analyzed.",,,gemini-3.6-flash,,
Moo hyɛ vidio nɛ ɔ nɛ o kɛ na bɔ nɛ ni kanemi vii kɛ ni kanemi kɛ mi kuɔmi ngɛ ha.,ada,1,Watch this video to see how deep reading and reading for comprehension work.,,,gemini-3.6-flash,,
Yo a he blɔ nɔ tomi kɛ a he se nami kɛ ha sisi numi nɛ mi kuɔ nami.,ada,1,Women's rights and their benefits for deeper understanding.,,,gemini-3.6-flash,,
Munyutso oti yomi ngɛ demiyo ko mi.,ada,1,Identifying the main topic in a passage.,,,gemini-3.6-flash,,
Ngɔɔ mo nitsɛ o munyunguhi kɛ tsɔɔ munyutso oti sisi.,ada,1,Use your own words to explain the meaning of the main topic.,,,gemini-3.6-flash,,
Moo kane demiyo nɛ nyɛɛ se nɛ ɔ nɛ o ha sane bimi ɔmɛ a heto.,ada,1,Read the following passage and answer the questions.,,,gemini-3.6-flash,,
He wami nɛ ngɛ nɔ bumi mi,ada,1,The power in respect,,,gemini-3.6-flash,,
A bɛ nɔ bumi ngɛ nɔ kpa ko dɛ se pe a naa.,ada,1,There is no respect in the hands of anyone else other than their presence.,,,gemini-3.6-flash,,
Bu ji adesahi a bɔmi sisi kla aloo sisi poku.,ada,1,Respect is the foundation or pillar of human relationships.,,,gemini-3.6-flash,,
"Ngɛ si himi mi jio, ni tsumi he jio ɔ, bu he hia wawɛɛ nitsɛ.",ada,1,"Whether in life or at the workplace, respect is very important.",,,gemini-3.6-flash,,
Ngɔɔ lɛ kaa o sɛ sukuu tsu ko mi nɛ nɔ fɛɛ nɔ ngaa e sibi kɛ bu kɛ he numi.,ada,1,Consider it like entering a classroom where everyone greets one another with respect and feeling.,,,gemini-3.6-flash,,
"Be mi nɛ o ngɛ ni kasemi mi gblee ngɛ Siniɔ Hai Sukuu ɔ, kai kaa nɔ bumi ngɛ kaa ha",ada,1,"As you are progressing in your education at Senior High School, remember that self-respect is key",,,gemini-3.6-flash,,
Munyutso oti ɔ yomi,ada,1,Understanding the main topic,,,gemini-3.6-flash,,
Mɛni ji demiyo ɔ munyutso oti ɔ?,ada,1,What is the main topic of the story?,,,gemini-3.6-flash,,
Mo yo munyuza otihi ngɛ kekle kuku kɛ kuku eywiɛne ɔmɛ mi nɛ o ngma.,ada,1,Extract the main key points in the first and fourth paragraphs and write them down.,,,gemini-3.6-flash,,
Moo do demiyo ɔ nɔ kɛ munyuza eywiɛ pɛ.,ada,1,Summarize the story in only four sentences.,,,gemini-3.6-flash,,
Moo ngma ni kanemi vii he su enyɔ nɛ nyɛ kase ngɛ mi gbami nɛ ɔ mi ɔ.,ada,1,Write down two benefits of intensive reading that you learned from this dialogue.,,,gemini-3.6-flash,,
Moo tsɔɔ su enyɔ nɛ o ngma amɛ a sisi kɛ mo nitsɛ o munyunguhi.,ada,1,Explain the meaning of the two benefits you wrote using your own words.,,,gemini-3.6-flash,,
Ni kanemi kɛ mi kuɔmi,ada,1,Reading and comprehension,,,gemini-3.6-flash,,
Mɛni mi gbami nɛ ngɛ ni kanemi hlɛhlɛ kɛ ni kanemi nɛ akɔtaa bumi ngɛ he ɔ,ada,1,What is the difference between skimming and scanning?,,,gemini-3.6-flash,,
Moo tsɔɔ ni kanemi kɛ mi kuɔmi he su etɛ sisi.,ada,1,Explain three advantages of reading and comprehension.,,,gemini-3.6-flash,,
Sɛ Enyɔ MI GBAMI 3,ada,1,CHAPTER 2 LESSON 3,,,gemini-3.6-flash,,
Animosa blɔ nɔ tomi kɛ mlaahi nɛ kudɔɔ Dangme,ada,1,Animosa's system and the rules governing Dangme,,,gemini-3.6-flash,,
He kplali slɔɔto enyɔ nɛ ngɛ Dangme mi.,ada,1,There are two different types of affixes in Dangme.,,,gemini-3.6-flash,,
He kplali a he ni tsumi ngɛ gbi ko mi ɔ haa nɛ a naa munyungu ehehi.,ada,1,The function of affixes in a language enables the creation of new words.,,,gemini-3.6-flash,,
He kplali pɔtɛɛ nɛ ngɛ ji hɛ kpɛ he kplali kɛ se he kplali.,ada,1,The specific affixes available are prefixes and suffixes.,,,gemini-3.6-flash,,
He kplalɔ peeɔ se he kplalɔ ke a ngɔ kɛ piɛɛ munyungu ɔ he ngɛ e se.,ada,1,An affix becomes a suffix when it is added to the end of the word.,,,gemini-3.6-flash,,
Nɔhyɛ nɔ: e + yo = eyo,ada,1,Example: e + yo = eyo,,,gemini-3.6-flash,,
He kplalɔ peeɔ kpɛti kplalɔ ke a ngɔ kɛ piɛɛ munyungu ɔ he ngɛ kpɛti.,ada,1,A suffix is an affix attached to the end of a word.,,,gemini-3.6-flash,,
He kplalɔ peeɔ hɛ kpɛ he kplalɔ ke a ngɔ kɛ piɛɛ munyungu ɔ he ngɛ e hɛ kpɛ.,ada,1,A prefix is an affix attached to the beginning of a word.,,,gemini-3.6-flash,,
